City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,79.11,76,0,5.75,US,1671301957
1,puerto ayacucho,5.6639,-67.6236,90.21,44,48,4.21,VE,1671301958
2,jamestown,42.097,-79.2353,33.39,59,100,10.36,US,1671301842
3,nikolskoye,59.7035,30.7861,-4.43,100,65,0.22,RU,1671301961
4,arraial do cabo,-22.9661,-42.0278,76.96,83,75,18.41,BR,1671301962
5,bluff,-46.6,168.3333,52.81,82,100,14.47,NZ,1671301964
6,port alfred,-33.5906,26.891,67.17,91,100,8.03,ZA,1671301965
7,dudinka,69.4058,86.1778,1.6,89,100,11.86,RU,1671301967
8,yatou,37.15,122.3833,21.72,73,75,18.39,CN,1671301968
9,pevek,69.7008,170.3133,-2.52,97,11,0.58,RU,1671301969
10,mitu,1.1983,-70.1733,90.0,44,87,4.81,CO,1671301971
11,bethel,41.3712,-73.414,44.46,61,0,17.27,US,1671301780
12,sangar,63.9242,127.4739,-53.5,100,57,2.73,RU,1671301973
13,padang,-0.9492,100.3543,77.05,88,100,3.58,ID,1671301714
14,carnarvon,-24.8667,113.6333,73.87,71,0,20.36,AU,1671301976
15,saint-philippe,-21.3585,55.7679,78.39,82,100,14.43,RE,1671301977
16,mao,39.8885,4.2658,54.16,94,20,1.14,ES,1671301979
17,najran,17.4924,44.1277,63.25,41,0,3.62,SA,1671301981
18,ushuaia,-54.8,-68.3,51.46,66,40,8.05,AR,1671301904
19,esperance,-33.8667,121.9,58.44,78,7,10.47,AU,1671301984
20,moron,-34.6534,-58.6198,80.94,36,0,8.28,AR,1671301401
21,hobart,-42.8794,147.3294,49.05,92,100,8.05,AU,1671301930
22,atuona,-9.8,-139.0333,78.22,77,100,19.91,PF,1671301988
23,ribeira grande,38.5167,-28.7,66.6,82,75,34.0,PT,1671301989
24,nagato,34.3833,131.2,39.83,55,100,27.29,JP,1671301991
25,chifeng,42.2683,118.9636,-0.53,45,0,6.78,CN,1671301992
26,mizdah,31.4451,12.9801,63.72,31,0,6.53,LY,1671301994
27,chuy,-33.6971,-53.4616,69.26,52,86,13.76,UY,1671301996
28,ahipara,-35.1667,173.1667,64.36,95,100,4.25,NZ,1671301965
