City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vangaindrano,-23.35,47.6,71.55,94,96,4.97,MG,1671240189
1,santa maria,-29.6842,-53.8069,69.1,56,0,13.8,BR,1671240181
2,saint-philippe,-21.3585,55.7679,72.99,81,26,12.57,RE,1671240192
3,ushuaia,-54.8,-68.3,60.46,51,75,5.75,AR,1671240193
4,hilo,19.7297,-155.09,81.28,82,100,3.44,US,1671240195
5,pimentel,-6.8367,-79.9342,68.88,82,100,12.59,PE,1671240196
6,key west,24.5557,-81.7826,78.8,93,75,6.91,US,1671240047
7,port alfred,-33.5906,26.891,68.18,92,28,1.99,ZA,1671240198
8,clyde river,70.4692,-68.5914,5.23,78,100,0.0,CA,1671240200
9,chara,56.9064,118.2631,-30.39,81,20,0.72,RU,1671240201
10,rikitea,-23.1203,-134.9692,75.52,72,100,5.68,PF,1671240202
11,kodiak,57.79,-152.4072,33.31,64,0,11.5,US,1671240204
12,popondetta,-8.7537,148.2534,80.2,81,99,1.92,PG,1671240205
13,tiksi,71.6872,128.8694,-31.83,100,99,1.72,RU,1671240206
14,luderitz,-26.6481,15.1594,66.88,91,100,1.59,NA,1671240208
15,vaini,-21.2,-175.2,84.36,70,20,12.66,TO,1671240209
16,vardo,70.3705,31.1107,26.58,100,100,11.5,NO,1671240210
17,tuktoyaktuk,69.4541,-133.0374,1.4,85,100,21.85,CA,1671240212
18,middlesbrough,54.5762,-1.2348,37.78,85,61,1.01,GB,1671240087
19,ilulissat,69.2167,-51.1,-1.03,94,100,7.34,GL,1671240214
20,bluff,-46.6,168.3333,63.81,81,73,13.02,NZ,1671240215
21,jamestown,42.097,-79.2353,33.39,72,100,8.05,US,1671240217
22,yulara,-25.2406,130.9889,71.51,40,100,23.96,AU,1671240218
23,yellowknife,62.456,-114.3525,-19.68,76,20,6.91,CA,1671240219
24,esperance,-33.8667,121.9,65.73,62,97,17.96,AU,1671240221
25,kloulklubed,7.0419,134.2556,81.1,76,100,18.86,PW,1671240222
26,ugoofaaru,5.6667,73.0,81.39,72,100,11.21,MV,1671240224
27,nefteyugansk,61.0998,72.6035,4.57,94,100,12.41,RU,1671240225
28,monkey bay,-14.0728,34.9201,77.4,73,100,1.5,MW,1671240226
29,sao joao da ponte,-15.9292,-44.0078,66.88,98,100,2.57,BR,1671239991
30,punta arenas,-53.15,-70.9167,57.31,67,75,12.66,CL,1671240144
31,mamallapuram,12.6264,80.1722,77.05,83,11,8.77,IN,1671240230
32,provideniya,64.3833,-173.3,19.74,86,100,16.53,RU,1671240231
33,klaksvik,62.2266,-6.589,29.32,90,100,36.08,FO,1671240233
34,la sarre,48.8002,-79.1996,29.08,95,100,9.71,CA,1671240008
35,aswan,24.0934,32.907,63.7,63,0,5.75,EG,1671240235
36,dunda,-8.1167,34.25,64.42,86,100,2.26,TZ,1671240236
37,coquimbo,-29.9533,-71.3436,62.33,88,20,8.05,CL,1671240238
38,ulaangom,49.9811,92.0667,-19.03,99,93,1.41,MN,1671240239
39,new norfolk,-42.7826,147.0587,58.71,58,33,1.99,AU,1671240240
40,hobart,-42.8794,147.3294,59.05,68,75,14.97,AU,1671240186
41,hermanus,-34.4187,19.2345,65.8,93,100,8.57,ZA,1671240243
42,biltine,14.5333,20.9167,68.31,26,10,14.61,TD,1671240244
43,bongandanga,1.5,21.05,70.18,91,78,2.24,CD,1671240246
44,kavieng,-2.5744,150.7967,83.21,68,91,3.69,PG,1671240193
45,innisfail,-17.5333,146.0333,85.71,67,35,7.83,AU,1671240248
46,mitu,1.1983,-70.1733,72.5,97,70,2.17,CO,1671240249
47,chuy,-33.6971,-53.4616,64.92,52,70,11.18,UY,1671240251
48,coihueco,-36.6167,-71.8333,66.94,60,0,5.75,CL,1671240252
